Time,Position,Velocity,Voltage,Force
0.0,-0.0,0.0,0.3,-0.0772
0.015621,-0.0,0.0,0.3,-0.0681
0.031243,-0.0,0.0,0.3,-0.0544
0.046864,-0.0,0.0,0.3,-0.0725
0.062485,-0.0,0.0,0.3,-0.0908
0.078106,-0.0,0.0,0.3,-0.0725
0.093727,-0.0,0.0,0.3,-0.0862
0.109349,-0.0,0.0,0.3,-0.0725
0.12497,-0.0,0.0,0.3,-0.0725
0.140592,-0.0,0.0,0.3,-0.0681
0.140592,-0.0,0.0,0.3,-0.0636
0.156212,-0.0,0.0,0.3,-0.0817
0.171834,-0.0,0.0,0.3,-0.0636
0.187455,-0.0,0.0,0.3,-0.0862
0.187455,-0.0,0.0,0.3,-0.0681
0.203077,-0.0,0.0,0.3,-0.0589
0.218698,-0.0,0.0,0.3,-0.0953
0.234319,-0.0,0.0,0.3,-0.0772
0.249941,-0.0,0.0,0.3,-0.0817
0.265563,-0.0,0.0,0.3,-0.0636
0.281183,-0.0,0.0,0.3,-0.0636
0.296805,-0.0,0.0,0.3,-0.0681
0.312426,-0.0,0.0,0.3,-0.0908
0.328047,-0.0,0.0,0.3,-0.0681
0.343668,-0.0,0.0,0.3,-0.1044
0.35929,-0.0,0.0,0.3,-0.0772
0.374911,-0.0,0.0,0.3,-0.0544
0.390533,-0.0,0.0,0.3,-0.0862
0.406154,-0.0,0.0,0.3,-0.0772
0.421775,-0.0,0.0,0.3,-0.0589
0.437397,-0.0,0.0,0.3,-0.0817
0.453017,-0.0,0.0,0.3,-0.0636
0.468639,-0.0,0.0,0.3,-0.0725
0.484261,-0.0,0.0,0.3,-0.0817
0.499881,-0.0,0.0,0.3,-0.0681
0.515504,-0.0,0.0,0.3,-0.0772
0.531124,-0.0,0.0,0.3,-0.0772
0.546745,-0.0,0.0,0.3,-0.0681
0.546745,-0.0,0.0,0.3,-0.0772
0.562367,-0.0,0.0,0.3,-0.0772
0.578612,-0.0,0.0,0.3,-0.0725
0.594234,-0.0,0.0,0.3,-0.0681
0.609855,-0.0,0.0,0.3,-0.0544
0.625477,-0.0,0.0,0.3,-0.0817
0.641098,-0.0,0.0,0.3,-0.0817
0.656719,-0.0,0.0,0.3,-0.0725
0.672341,-0.0,0.0,0.3,-0.0817
0.703583,-0.0,0.0,0.3,-0.0725
0.719205,-0.0,0.0,0.3,-0.0772
0.734826,-0.0,0.0,0.3,-0.0999
0.766069,-0.0,-8.167346727046162e-05,0.3,-0.5858
0.797312,-5.103448275862069e-06,-0.00032670432596261886,0.3,-2.3796
0.812932,-1.5310344827586204e-05,-0.0006534086519252378,0.3,-3.3788
0.828554,-2.5517241379310345e-05,-0.0006533877381636932,0.3,-3.951
0.844175,-3.5724137931034486e-05,-0.0006533877381636928,0.3,-4.7774
0.859797,-4.593103448275861e-05,-0.0009800502386113324,0.3,-6.0127
0.875419,-6.63448275862069e-05,-0.0009801129778878566,0.3,-7.8203
0.891039,-7.655172413793102e-05,-0.0009801443505384698,0.3,-8.9193
0.90666,-9.69655172413793e-05,-0.0011434651408691664,0.3,-9.9592
0.922281,-0.00011227586206896551,-0.0009800816072455395,0.3,-11.0037
0.937903,-0.0001275862068965517,-0.0008167085321761109,0.3,-11.6078
0.953525,-0.00013779310344827587,-0.0014701694668317858,0.3,-12.4344
0.969145,-0.00017351724137931035,-0.0016334693454092327,0.3,-12.9566
0.984768,-0.00018882758620689656,-0.0014701224108683091,0.3,-14.0328
1.000388,-0.00021944827586206896,-0.0026138019338602003,0.3,-14.6096
1.000388,-0.0002296551724137931,-0.002286637517188414,0.3,-15.8404
1.016011,-0.0002551724137931034,-0.0016334693454092377,0.3,-15.8857
1.031631,-0.00028068965517241375,-0.0014702165258077056,0.3,-16.6033
1.047252,-0.00030110344827586206,-0.0014701224108683048,0.3,-17.7705
1.062874,-0.0003266206896551724,-0.003593517541574872,0.3,-17.9657
1.062874,-0.0003572413793103448,-0.003267043259626214,0.3,-18.4744
1.078495,-0.0003776551724137931,-0.0017968162799501634,0.3,-18.6016
1.094117,-0.0004133793103448276,-0.0021235101490320097,0.3,-19.1102
1.109738,-0.000444,-0.002286930281738331,0.3,-19.8641
1.125359,-0.0004848275862068965,-0.0022869302817383145,0.3,-20.1683
1.14098,-0.0005154482758620689,-0.0019601423016220518,0.3,-21.1447
1.172224,-0.0005766896551724138,-0.003103492422269229,0.3,-21.7578
1.172224,-0.0006124137931034482,-0.0052276038677204345,0.3,-22.8432
