Time,Position,Velocity,Voltage,Force
0.0,-0.0,0.0,0.3,0.0
0.021668,-0.0,0.0,0.3,0.0091
0.038626,-0.0,0.0,0.3,0.0091
0.051716,-0.0,0.0,0.3,0.0136
0.071242,-0.0,0.0,0.3,0.0091
0.085868,-0.0,0.0,0.3,0.0091
0.100982,-0.0,0.0,0.3,0.0045
0.100982,-0.0,0.0,0.3,0.0091
0.116754,-0.0,0.0,0.3,0.0091
0.132358,-0.0,0.0,0.3,0.0045
0.148988,-0.0,0.0,0.3,-0.0045
0.148988,-0.0,0.0,0.3,-0.0045
0.165731,-0.0,0.0,0.3,0.0181
0.18236,-0.0,0.0,0.3,0.0317
0.199407,-0.0,0.0,0.3,0.0136
0.21503,-0.0,0.0,0.3,0.0136
0.216534,-0.0,0.0,0.3,0.0091
0.239213,-0.0,0.0,0.3,0.0181
0.255574,-0.0,0.0,0.3,0.0091
0.271198,-0.0,0.0,0.3,0.0091
0.286819,-0.0,0.0,0.3,-0.0045
0.298859,-0.0,0.0,0.3,-0.0091
0.315489,-0.0,0.0,0.3,0.0091
0.315489,-0.0,0.0,0.3,0.0
0.332504,-0.0,0.0,0.3,0.0136
0.350316,-0.0,0.0,0.3,-0.0045
0.36896,-0.0,0.0,0.3,0.0136
0.382191,-0.0,0.0,0.3,0.0136
0.387223,-0.0,0.0,0.3,0.0091
0.405362,-0.0,0.0,0.3,0.0091
0.416667,-0.0,0.0,0.3,0.0091
0.437326,-0.0,0.0,0.3,0.0136
0.449733,-0.0,0.0,0.3,-0.0045
0.456798,-0.0,0.0,0.3,0.0091
0.472421,-0.0,0.0,0.3,0.0091
0.48283,-0.0,0.0,0.3,0.0
0.500468,-0.0,0.0,0.3,0.0
0.521125,-0.0,0.0,0.3,0.0181
0.548308,-0.0,0.0,0.3,-0.0091
0.553373,-0.0,0.0,0.3,0.0045
0.57012,-0.0,0.0,0.3,0.0
0.584044,-0.0,0.0,0.3,0.0091
0.600674,-0.0,0.0,0.3,0.0181
0.618291,-0.0,0.0,0.3,0.0272
0.641113,-0.0,0.0,0.3,0.0181
0.666301,-0.0,0.0,0.3,0.0045
0.682428,-0.0,0.0,0.3,0.0
0.698052,-0.0,0.0,0.3,0.0136
0.713674,-0.0,0.0,0.3,0.0
0.733371,-0.0,0.0,0.3,0.0
0.756519,-0.0,0.0,0.3,0.0181
0.784063,-0.0,0.0,0.3,0.0091
0.790117,-0.0,0.0,0.3,0.0181
0.815377,-0.0,0.0,0.3,0.0045
0.831,-0.0,0.0,0.3,0.0
0.846622,-0.0,0.0,0.3,0.0181
0.866079,-0.0,0.0,0.3,0.0227
0.881703,-0.0,0.0,0.3,0.0045
0.90544,-0.0,0.0,0.3,0.0091
0.921104,-0.0,0.0,0.3,-0.0091
0.948703,-0.0,0.0,0.3,-0.0091
0.965574,-0.0,0.0,0.3,0.0091
0.981197,-0.0,0.0,0.3,0.0091
0.999555,-0.0,0.0,0.3,-0.0091
1.018322,-0.0,0.0,0.3,-0.0045
1.037871,-0.0,0.0,0.3,0.0091
1.05331,-0.0,0.0,0.3,0.0045
1.067428,-0.0,0.0,0.3,0.0091
1.083555,-0.0,0.0,0.3,0.0091
1.105729,-0.0,0.0,0.3,-0.0045
1.125502,-0.0,0.0,0.3,0.0455
1.132177,-0.0,0.0,0.3,0.0045
1.149417,-0.0,0.0,0.3,0.0136
1.16504,-0.0,0.0,0.3,0.0091
1.180662,-0.0,0.0,0.3,0.0227
1.20341,-0.0,0.0,0.3,0.0136
1.219033,-0.0,0.0,0.3,0.0136
1.248768,-0.0,0.0,0.3,0.0091
1.264391,-0.0,0.0,0.3,0.0181
1.280013,-0.0,0.0,0.3,0.0091
1.298931,-0.0,0.0,0.3,-0.0091
1.316734,-0.0,0.0,0.3,0.0091
1.334309,-0.0,0.0,0.3,0.0455
1.349422,-0.0,0.0,0.3,0.0181
1.365046,-0.0,0.0,0.3,-0.0045
1.386745,-0.0,0.0,0.3,0.0136
1.403618,-0.0,0.0,0.3,0.0
1.417375,-0.0,0.0,0.3,0.0
1.434003,-0.0,0.0,0.3,0.0272
1.452518,-0.0,0.0,0.3,0.0
1.472375,-0.0,0.0,0.3,0.0
1.48625,-0.0,0.0,0.3,0.0045
1.501873,-0.0,0.0,0.3,0.0363
1.521102,-0.0,0.0,0.3,0.0045
1.536726,-0.0,0.0,0.3,0.0136
1.56556,-0.0,0.0,0.3,0.0091
1.596805,-0.0,0.0,0.3,0.0091
1.596805,-0.0,0.0,0.3,0.0
1.616532,-0.0,0.0,0.3,0.0091
1.633161,-0.0,0.0,0.3,0.0091
1.650012,-0.0,0.0,0.3,0.0091
1.674724,-0.0,0.0,0.3,0.0227
1.690146,-0.0,0.0,0.3,0.0045
1.699925,-0.0,-0.00020173327045070995,0.3,-0.4314
1.715444,-5.103448275862069e-06,-0.00047639382748105685,0.3,-1.1398
1.732063,-1.5310344827586204e-05,-0.0004748424410751541,0.3,-2.357
1.747687,-2.0413793103448275e-05,-0.00044978832596686554,0.3,-3.1836
1.766102,-3.062068965517241e-05,-0.000873778383037677,0.3,-4.0009
1.782731,-5.103448275862069e-05,-0.0009576746623873312,0.3,-5.2226
1.803405,-6.63448275862069e-05,-0.0009535845482485242,0.3,-6.2854
1.820194,-8.675862068965518e-05,-0.0012380727131968015,0.3,-7.7114
1.848748,-0.00012248275862068963,-0.0012423194439781084,0.3,-8.6469
1.865382,-0.00014289655172413794,-0.001265657703729205,0.3,-9.0602
1.881006,-0.0001633103448275862,-0.001216120165819629,0.3,-9.7051
1.898954,-0.00018372413793103445,-0.0009979924553311689,0.3,-10.318
1.916802,-0.00019903448275862066,-0.002001576531321985,0.3,-10.3227
1.916802,-0.00021944827586206896,-0.0024646897800722103,0.3,-11.1264
1.933367,-0.00023986206896551722,-0.0014344035002891384,0.3,-11.8259
1.948823,-0.0002653793103448276,-0.0017332941532198038,0.3,-12.2028
1.965755,-0.000296,-0.0018128405455670137,0.3,-13.002
1.982605,-0.0003266206896551724,-0.0017282249494961262,0.3,-13.774
1.998238,-0.0003521379310344827,-0.0030673447985707565,0.3,-14.5507
1.999243,-0.0003776551724137931,-0.0032844245044698238,0.3,-15.5453
2.016884,-0.0004133793103448276,-0.0016052462517833718,0.3,-15.9267
2.040573,-0.000444,-0.0017395012869958811,0.3,-16.9031
2.057958,-0.0004848275862068965,-0.0028602192098506622,0.3,-17.884
2.065553,-0.0005154482758620689,-0.0024604812900902236,0.3,-18.3609
2.082848,-0.0005460689655172413,-0.003540987528785516,0.3,-19.9459
2.082848,-0.0005766896551724138,-0.00447487719284095,0.3,-21.0041
2.099955,-0.0006226206896551723,-0.002180741521457244,0.3,-21.926
2.122632,-0.0006634482758620689,-0.002314022594728129,0.3,-23.0341
2.139653,-0.0007144827586206896,-0.0028347039067788972,0.3,-24.0013
2.169441,-0.0007961379310344826,-0.0027503470252783066,0.3,-26.222
2.182331,-0.0008318620689655172,-0.004360058330510111,0.3,-26.3902
2.199874,-0.0009288275862068965,-0.004616277159617137,0.3,-27.1985
2.215497,-0.0009849655172413793,-0.0032668341287044283,0.3,-28.3475
2.231118,-0.0010308965517241378,-0.00319749518464539,0.3,-29.6009
2.256995,-0.001117655172413793,-0.0031359816404900286,0.3,-29.5419
2.27343,-0.0011635862068965516,-0.004814195370674074,0.3,-28.9696
2.282437,-0.0012401379310344827,-0.0055740580326157745,0.3,-26.4219
2.299066,-0.0013064827586206896,-0.003712246701869436,0.3,-25.8952
2.316806,-0.0013677241379310345,-0.0037146244765641984,0.3,-27.4483
2.333413,-0.0014340689655172414,-0.004464122203190863,0.3,-27.4983
