,Time,Position,Velocity,Voltage,Force
39746,672.555609,-0.0076092413793103,-0.0044702144589207,0.5,-40.0417
39747,672.569497,-0.0077011034482758,-0.0057068141745008,0.5,-40.4232
39748,672.58512,-0.0077776551724137,-0.0039299151514138,0.5,-40.8182
39749,672.603261,-0.0078337931034482,-0.004077739863929,0.5,-40.7501
39750,672.61766,-0.0079103448275862,-0.0049297182066434,0.5,-40.6819
39751,672.633283,-0.0079817931034482,-0.0040834119666026,0.5,-41.0863
39752,672.648905,-0.0080379310344827,-0.0042148230771017,0.5,-41.3859
39753,672.669608,-0.0081348965517241,-0.0047766679893108,0.5,-42.1443
39754,672.6852309999999,-0.008211448275862,-0.0044654800290519,0.5,-42.2078
39755,672.703894,-0.0082879999999999,-0.0047255609208803,0.5,-42.0354
39756,672.71763,-0.0083645517241379,-0.0045195563599719,0.5,-41.3995
39757,672.733253,-0.0084206896551724,-0.0040953175946496,0.5,-41.9172
39758,672.755015,-0.0085176551724137,-0.0046412357935979,0.5,-41.8491
39759,672.770639,-0.0085942068965517,-0.0044102260737488,0.5,-42.376
39760,672.786259,-0.008655448275862,-0.0041422847872586,0.5,-43.266
39761,672.803904,-0.008732,-0.005021644074005,0.5,-43.0164
39762,672.817764,-0.0088136551724137,-0.0050149038792477,0.5,-43.2388
39763,672.836469,-0.0088953103448275,-0.0046085495223258,0.5,-43.2252
39764,672.852093,-0.0089718620689655,-0.0044100849239308,0.5,-43.257
39765,672.867714,-0.0090331034482758,-0.0044083464977348,0.5,-43.9291
39766,672.884508,-0.0091147586206896,-0.0044803935480746,0.5,-43.8655
39767,672.904164,-0.0091964137931034,-0.0044844495748736,0.5,-43.4658
39768,672.9197869999999,-0.0092729655172413,-0.0050634308386057,0.5,-44.0335
39769,672.9354089999999,-0.0093546206896551,-0.0052271019053065,0.5,-44.4287
39770,672.95103,-0.0094362758620689,-0.0047662370075749,0.5,-44.8238
39771,672.969673,-0.0095179310344827,-0.0049148950301592,0.5,-44.6512
39772,672.985296,-0.0096046896551724,-0.0053902763123597,0.5,-45.2235
39773,673.000917,-0.0096863448275862,-0.0050298861903293,0.5,-44.8918
39774,673.0177639999999,-0.0097679999999999,-0.004400743793668,0.5,-44.9918
39775,673.033388,-0.0098292413793103,-0.0038251613278361,0.5,-45.1825
39776,673.055121,-0.0099108965517241,-0.005074100774079,0.5,-44.8465
39777,673.070602,-0.0100180689655172,-0.0042376329534768,0.5,-46.5041
39779,673.103923,-0.0101660689655172,-0.0087703703703562,0.5,-46.4724
39780,673.11776,-0.0102528275862068,-0.0058897268042324,0.5,-46.4724
39781,673.133384,-0.0103395862068965,-0.0049000943599232,0.5,-46.6767
39782,673.149005,-0.0104059310344827,-0.0046510639123771,0.5,-47.2216
39783,673.170691,-0.0105131034482758,-0.0051979692428769,0.5,-46.3997
39784,673.186314,-0.0105998620689655,-0.0052121366549368,0.5,-47.1036
39785,673.203982,-0.0106866206896551,-0.004865369527022,0.5,-46.8447
39786,673.2177819999999,-0.0107529655172413,-0.004851647757257,0.5,-47.2397
39787,673.235539,-0.010839724137931,-0.0047823477819245,0.5,-48.3161
39788,673.255132,-0.0109315862068965,-0.0056646881477349,0.5,-48.3434
39789,673.270675,-0.0110387586206896,-0.0042333777446611,0.5,-46.9673
39791,673.3039719999999,-0.0111969655172413,-0.0093652339165272,0.5,-47.5714
39792,673.317835,-0.011283724137931,-0.0060578135269297,0.5,-47.8075
39793,673.333458,-0.0113755862068965,-0.0046705545877735,0.5,-47.8847
39794,673.356079,-0.0114623448275862,-0.0048091295475496,0.5,-47.5941
39795,673.3706,-0.0115542068965517,-0.0043064127487519,0.5,-48.2253
39797,673.404987,-0.0117175172413793,-0.0088329460416219,0.5,-48.4069
39798,673.417838,-0.0118093793103448,-0.006273115461664,0.5,-48.0891
39799,673.433461,-0.0118961379310344,-0.0046502483573765,0.5,-47.8983
39800,673.456249,-0.011988,-0.0056244658703956,0.5,-48.9882
39801,673.470663,-0.0121053793103448,-0.0061163905030658,0.5,-49.7602
39802,673.486287,-0.012171724137931,-0.0053557642820348,0.5,-49.6741
39803,673.504967,-0.0122891034482758,-0.0055046959801408,0.5,-49.5831
39804,673.52059,-0.0123605517241379,-0.004531076250874,0.5,-50.6959
39805,673.536504,-0.0124319999999999,-0.0045939504578838,0.5,-49.6785
39806,673.556139,-0.0125238620689655,-0.0060793246238077,0.5,-50.1008
39807,673.571762,-0.0126463448275862,-0.0068603516703008,0.5,-50.9591
39808,673.5873829999999,-0.0127382068965517,-0.0056344084095234,0.5,-50.6595
39809,673.6179559999999,-0.0129066206896551,-0.0057446382878339,0.5,-51.4632
39810,673.6335789999999,-0.0130035862068965,-0.0044350931741789,0.5,-52.09
39811,673.655929,-0.0130750344827586,-0.0044350931741789,0.5,-51.6267
39812,673.671552,-0.013172,-0.0062067861892359,0.5,-51.268
39813,673.687174,-0.0132689655172413,-0.0057671226836552,0.5,-52.1627
