Time,Position,Velocity,Voltage,Force
0,0.0,-0.0,0.0,0.3,0.0
1,0.021668,-0.0,0.0,0.3,0.0091
2,0.038626,-0.0,0.0,0.3,0.0091
3,0.051716,-0.0,0.0,0.3,0.0136
4,0.071242,-0.0,0.0,0.3,0.0091
5,0.085868,-0.0,0.0,0.3,0.0091
7,0.100982,-0.0,0.0,0.3,0.0091
8,0.116754,-0.0,0.0,0.3,0.0091
9,0.132358,-0.0,0.0,0.3,0.0045
11,0.148988,-0.0,0.0,0.3,-0.0045
12,0.165731,-0.0,0.0,0.3,0.0181
13,0.18236,-0.0,0.0,0.3,0.0317
14,0.199407,-0.0,0.0,0.3,0.0136
16,0.216534,-0.0,0.0,0.3,0.0091
17,0.239213,-0.0,0.0,0.3,0.0181
18,0.255574,-0.0,0.0,0.3,0.0091
19,0.271198,-0.0,0.0,0.3,0.0091
20,0.286819,-0.0,0.0,0.3,-0.0045
21,0.298859,-0.0,0.0,0.3,-0.0091
23,0.315489,-0.0,0.0,0.3,0.0
24,0.332504,-0.0,0.0,0.3,0.0136
25,0.350316,-0.0,0.0,0.3,-0.0045
26,0.36896,-0.0,0.0,0.3,0.0136
28,0.387223,-0.0,0.0,0.3,0.0091
29,0.405362,-0.0,0.0,0.3,0.0091
30,0.416667,-0.0,0.0,0.3,0.0091
31,0.437326,-0.0,0.0,0.3,0.0136
33,0.456798,-0.0,0.0,0.3,0.0091
34,0.472421,-0.0,0.0,0.3,0.0091
35,0.48283,-0.0,0.0,0.3,0.0
36,0.500468,-0.0,0.0,0.3,0.0
37,0.521125,-0.0,0.0,0.3,0.0181
39,0.553373,-0.0,0.0,0.3,0.0045
40,0.57012,-0.0,0.0,0.3,0.0
41,0.584044,-0.0,0.0,0.3,0.0091
42,0.600674,-0.0,0.0,0.3,0.0181
43,0.618291,-0.0,0.0,0.3,0.0272
44,0.641113,-0.0,0.0,0.3,0.0181
45,0.666301,-0.0,0.0,0.3,0.0045
46,0.682428,-0.0,0.0,0.3,0.0
47,0.698052,-0.0,0.0,0.3,0.0136
48,0.713674,-0.0,0.0,0.3,0.0
49,0.733371,-0.0,0.0,0.3,0.0
50,0.756519,-0.0,0.0,0.3,0.0181
52,0.790117,-0.0,0.0,0.3,0.0181
53,0.815377,-0.0,0.0,0.3,0.0045
54,0.831,-0.0,0.0,0.3,0.0
55,0.846622,-0.0,0.0,0.3,0.0181
56,0.866079,-0.0,0.0,0.3,0.0227
57,0.881703,-0.0,0.0,0.3,0.0045
58,0.90544,-0.0,0.0,0.3,0.0091
59,0.921104,-0.0,0.0,0.3,-0.0091
60,0.948703,-0.0,0.0,0.3,-0.0091
61,0.965574,-0.0,0.0,0.3,0.0091
62,0.981197,-0.0,0.0,0.3,0.0091
63,0.999555,-0.0,0.0,0.3,-0.0091
64,1.018322,-0.0,0.0,0.3,-0.0045
65,1.037871,-0.0,0.0,0.3,0.0091
66,1.05331,-0.0,0.0,0.3,0.0045
67,1.067428,-0.0,0.0,0.3,0.0091
68,1.083555,-0.0,0.0,0.3,0.0091
69,1.105729,-0.0,0.0,0.3,-0.0045
71,1.132177,-0.0,0.0,0.3,0.0045
72,1.149417,-0.0,0.0,0.3,0.0136
73,1.16504,-0.0,0.0,0.3,0.0091
74,1.180662,-0.0,0.0,0.3,0.0227
75,1.20341,-0.0,0.0,0.3,0.0136
76,1.219033,-0.0,0.0,0.3,0.0136
77,1.248768,-0.0,0.0,0.3,0.0091
78,1.264391,-0.0,0.0,0.3,0.0181
79,1.280013,-0.0,0.0,0.3,0.0091
80,1.298931,-0.0,0.0,0.3,-0.0091
81,1.316734,-0.0,0.0,0.3,0.0091
82,1.334309,-0.0,0.0,0.3,0.0455
83,1.349422,-0.0,0.0,0.3,0.0181
84,1.365046,-0.0,0.0,0.3,-0.0045
85,1.386745,-0.0,0.0,0.3,0.0136
86,1.403618,-0.0,0.0,0.3,0.0
87,1.417375,-0.0,0.0,0.3,0.0
88,1.434003,-0.0,0.0,0.3,0.0272
89,1.452518,-0.0,0.0,0.3,0.0
90,1.472375,-0.0,0.0,0.3,0.0
91,1.48625,-0.0,0.0,0.3,0.0045
92,1.501873,-0.0,0.0,0.3,0.0363
93,1.521102,-0.0,0.0,0.3,0.0045
94,1.536726,-0.0,0.0,0.3,0.0136
95,1.56556,-0.0,0.0,0.3,0.0091
97,1.596805,-0.0,0.0,0.3,0.0
98,1.616532,-0.0,0.0,0.3,0.0091
99,1.633161,-0.0,0.0,0.3,0.0091
100,1.650012,-0.0,0.0,0.3,0.0091
101,1.674724,-0.0,0.0,0.3,0.0227
103,1.699925,-0.0,-0.0002017332704507,0.3,-0.4314
104,1.715444,-5.103448275862069e-06,-0.000476393827481,0.3,-1.1398
105,1.732063,-1.5310344827586204e-05,-0.0004748424410751,0.3,-2.357
106,1.747687,-2.0413793103448275e-05,-0.0004497883259668,0.3,-3.1836
107,1.766102,-3.062068965517241e-05,-0.0008737783830376,0.3,-4.0009
108,1.782731,-5.103448275862069e-05,-0.0009576746623873,0.3,-5.2226
109,1.803405,-6.63448275862069e-05,-0.0009535845482485,0.3,-6.2854
110,1.820194,-8.675862068965518e-05,-0.0012380727131968,0.3,-7.7114
111,1.848748,-0.0001224827586206,-0.0012423194439781,0.3,-8.6469
112,1.865382,-0.0001428965517241,-0.0012656577037292,0.3,-9.0602
113,1.881006,-0.0001633103448275,-0.0012161201658196,0.3,-9.7051
114,1.898954,-0.000183724137931,-0.0009979924553311,0.3,-10.318
116,1.916802,-0.000219448275862,-0.0024646897800722,0.3,-11.1264
117,1.933367,-0.0002398620689655,-0.0014344035002891,0.3,-11.8259
118,1.948823,-0.0002653793103448,-0.0017332941532198,0.3,-12.2028
119,1.965755,-0.000296,-0.001812840545567,0.3,-13.002
120,1.982605,-0.0003266206896551,-0.0017282249494961,0.3,-13.774
122,1.999243,-0.0003776551724137,-0.0032844245044698,0.3,-15.5453
123,2.016884,-0.0004133793103448,-0.0016052462517833,0.3,-15.9267
124,2.040573,-0.000444,-0.0017395012869958,0.3,-16.9031
126,2.065553,-0.000515448275862,-0.0024604812900902,0.3,-18.3609
128,2.082848,-0.0005766896551724,-0.0044748771928409,0.3,-21.0041
129,2.099955,-0.0006226206896551,-0.0021807415214572,0.3,-21.926
130,2.122632,-0.000663448275862,-0.0023140225947281,0.3,-23.0341
131,2.139653,-0.0007144827586206,-0.0028347039067788,0.3,-24.0013
132,2.169441,-0.0007961379310344,-0.0027503470252783,0.3,-26.222
133,2.182331,-0.0008318620689655,-0.0043600583305101,0.3,-26.3902
134,2.199874,-0.0009288275862068,-0.0046162771596171,0.3,-27.1985
135,2.215497,-0.0009849655172413,-0.0032668341287044,0.3,-28.3475
136,2.231118,-0.0010308965517241,-0.0031974951846453,0.3,-29.6009
137,2.256995,-0.0011176551724137,-0.00313598164049,0.3,-29.5419
139,2.282437,-0.0012401379310344,-0.0055740580326157,0.3,-26.4219
140,2.299066,-0.0013064827586206,-0.0037122467018694,0.3,-25.8952
141,2.316806,-0.001367724137931,-0.0037146244765641,0.3,-27.4483
142,2.333413,-0.0014340689655172,-0.0044641222031908,0.3,-27.4983
143,2.348816,-0.0015106206896551,-0.0045833204298411,0.3,-26.4401
144,2.365704,-0.0015820689655172,-0.0042632779916503,0.3,-28.3475
145,2.382334,-0.0016535172413793,-0.004603368961059,0.3,-28.6926
146,2.398963,-0.0017351724137931,-0.0042964776969884,0.3,-29.3965
147,2.415593,-0.0017964137931034,-0.0048775564430914,0.3,-28.3203
148,2.432445,-0.0018984827586206,-0.0048777021244164,0.3,-27.0578
149,2.449074,-0.001959724137931,-0.0044304886901726,0.3,-27.4392
150,2.464698,-0.0020413793103448,-0.0049161862715196,0.3,-28.679
151,2.483331,-0.0021281379310344,-0.0049918654021665,0.3,-29.2058
152,2.499458,-0.0022148965517241,-0.0053203672491339,0.3,-29.8598
153,2.516904,-0.0023067586206896,-0.0043603687654214,0.3,-28.5382
154,2.541593,-0.0023986206896551,-0.0058676452970494,0.3,-28.5155
155,2.556913,-0.0025415172413793,-0.0069405483203703,0.3,-29.4511
156,2.582035,-0.0026793103448275,-0.0050103294696217,0.3,-28.6336
157,2.598675,-0.0027507586206896,-0.0055360511283177,0.3,-29.3738
158,2.6143,-0.0028579310344827,-0.0066965813003374,0.3,-29.2785
159,2.629921,-0.0029599999999999,-0.006153322259465,0.3,-30.7226
160,2.649134,-0.0030722758620689,-0.0058378823533939,0.3,-31.8443
161,2.665763,-0.0031692413793103,-0.0063290733253079,0.3,-31.7218
162,2.681388,-0.0032764137931034,-0.0063846927893302,0.3,-31.7308
163,2.700134,-0.0033886896551724,-0.0063912009512485,0.3,-31.8534
164,2.715724,-0.0034958620689655,-0.0058859530316855,0.3,-32.1713
165,2.731348,-0.0035724137931034,-0.0058717159526085,0.3,-33.5928
166,2.748752,-0.0036897931034482,-0.0068769552300921,0.3,-33.2839
