Time,Position,Velocity,Voltage,Force
0,0.0,-0.0,0.0,0.3,-0.0317
1,0.016629,-0.0,0.0,0.3,-0.0317
2,0.033259,-0.0,0.0,0.3,-0.0181
3,0.04989,-0.0,0.0,0.3,-0.0136
4,0.066519,-0.0,0.0,0.3,-0.009
5,0.083149,-0.0,0.0,0.3,-0.0136
6,0.099954,-0.0,0.0,0.3,-0.0272
7,0.116583,-0.0,0.0,0.3,-0.0317
8,0.133214,-0.0,0.0,0.3,-0.0317
9,0.148838,-0.0,0.0,0.3,-0.0453
10,0.166554,-0.0,0.0,0.3,-0.0317
11,0.183262,-0.0,0.0,0.3,-0.0272
12,0.199892,-0.0,0.0,0.3,-0.0136
13,0.216521,-0.0,0.0,0.3,-0.0136
15,0.23315,-0.0,0.0,0.3,-0.0408
16,0.249871,-0.0,0.0,0.3,-0.0272
17,0.267602,-0.0,0.0,0.3,-0.0181
19,0.283168,-0.0,0.0,0.3,-0.0453
20,0.299798,-0.0,0.0,0.3,-0.009
21,0.316428,-0.0,0.0,0.3,-0.0272
23,0.333301,-0.0,0.0,0.3,-0.0408
24,0.34993,-0.0,0.0,0.3,-0.0226
25,0.366561,-0.0,0.0,0.3,-0.0226
26,0.383199,-0.0,0.0,0.3,-0.0272
27,0.399995,-0.0,0.0,0.3,-0.0226
28,0.41562,-0.0,0.0,0.3,-0.0181
29,0.433206,-0.0,0.0,0.3,-0.0317
30,0.449834,-0.0,0.0,0.3,-0.0317
31,0.466464,-0.0,0.0,0.3,-0.0317
33,0.483217,-0.0,0.0,0.3,-0.009
34,0.499846,-0.0,0.0,0.3,-0.0362
35,0.516619,-0.0,0.0,0.3,-0.0136
36,0.532242,-0.0,0.0,0.3,-0.0136
37,0.549983,-0.0,0.0,0.3,-0.0136
38,0.566814,-0.0,0.0,0.3,-0.0226
39,0.583443,-0.0,0.0,0.3,-0.0226
40,0.600075,-0.0,0.0,0.3,-0.0136
41,0.616706,-0.0,0.0,0.3,-0.0317
42,0.633335,-0.0,0.0,0.3,-0.0136
43,0.649964,-0.0,0.0,0.3,-0.0317
44,0.666595,-0.0,0.0,0.3,-0.0136
45,0.683338,-0.0,0.0,0.3,-0.009
46,0.69997,-0.0,0.0,0.3,-0.0453
47,0.716613,-0.0,0.0,0.3,-0.0362
48,0.73338,-0.0,0.0,0.3,0.0046
49,0.750009,-0.0,0.0,0.3,-0.0226
50,0.766787,-0.0,0.0,0.3,-0.0136
51,0.78241,-0.0,0.0,0.3,-0.0408
52,0.799824,-0.0,0.0,0.3,-0.0226
53,0.816584,-0.0,0.0,0.3,-0.009
54,0.833213,-0.0,0.0,0.3,-0.0226
55,0.849973,-0.0,0.0,0.3,-0.0362
56,0.866601,-0.0,0.0,0.3,-0.0362
57,0.883281,-0.0,0.0,0.3,-0.0272
58,0.900037,-0.0,0.0,0.3,-0.0181
59,0.915661,-0.0,0.0,0.3,-0.0181
60,0.933281,-0.0,0.0,0.3,-0.0136
62,0.94991,-0.0,0.0,0.3,-0.0226
63,0.966554,-0.0,0.0,0.3,-0.0362
64,0.983289,-0.0,0.0,0.3,-0.0362
65,1.014535,-0.0,0.0,0.3,-0.0226
66,1.031879,-0.0,0.0,0.3,-0.0181
67,1.048985,-0.0,0.0,0.3,-0.0136
68,1.065614,-0.0,0.0,0.3,-0.0272
69,1.08325,-0.0,0.0,0.3,-0.0362
71,1.099879,-0.0,0.0,0.3,-0.0226
72,1.116509,-0.0,0.0,0.3,-0.0272
73,1.13318,-0.0,0.0,0.3,-0.0272
74,1.1499,-0.0,0.0,0.3,-0.0453
75,1.16653,-0.0,0.0,0.3,-0.0317
76,1.198847,-0.0,0.0,0.3,-0.0136
77,1.215476,-0.0,0.0,0.3,-0.0408
79,1.233242,-0.0,0.0,0.3,-0.0272
80,1.249872,-0.0,0.0,0.3,-0.0272
82,1.283177,-0.0,0.0,0.3,-0.0317
83,1.299873,-0.0,0.0,0.3,-0.0181
85,1.333299,-0.0,0.0,0.3,-0.009
86,1.365554,-0.0,0.0,0.3,-0.0181
88,1.383327,-0.0,0.0,0.3,-0.009
90,1.416772,-0.0,0.0,0.3,-0.0272
91,1.433413,-0.0,0.0,0.3,-0.0136
92,1.449037,-0.0,0.0,0.3,-0.0272
93,1.466727,-0.0,0.0,0.3,-0.0136
94,1.483355,-0.0,0.0,0.3,-0.0272
96,1.5146,-0.0,0.0,0.3,-0.0453
97,1.533101,-0.0,0.0,0.3,-0.0362
98,1.549918,-0.0,0.0,0.3,-0.4314
99,1.566861,-0.0,0.0,0.3,-1.4033
100,1.583531,-0.0,-0.0004603230555497,0.3,-2.9883
101,1.600121,-1.5310344827586204e-05,-0.0007681288795698,0.3,-3.7875
