,Time,Position,Velocity,Voltage,Force
0,0.0,-0.0,0.0,0.3,-0.0772
1,0.015621,-0.0,0.0,0.3,-0.0681
2,0.031243,-0.0,0.0,0.3,-0.0544
3,0.046864,-0.0,0.0,0.3,-0.0725
4,0.062485,-0.0,0.0,0.3,-0.0908
5,0.078106,-0.0,0.0,0.3,-0.0725
6,0.093727,-0.0,0.0,0.3,-0.0862
7,0.109349,-0.0,0.0,0.3,-0.0725
8,0.12497,-0.0,0.0,0.3,-0.0725
10,0.140592,-0.0,0.0,0.3,-0.0636
11,0.156212,-0.0,0.0,0.3,-0.0817
12,0.171834,-0.0,0.0,0.3,-0.0636
14,0.187455,-0.0,0.0,0.3,-0.0681
15,0.203077,-0.0,0.0,0.3,-0.0589
16,0.218698,-0.0,0.0,0.3,-0.0953
17,0.234319,-0.0,0.0,0.3,-0.0772
18,0.249941,-0.0,0.0,0.3,-0.0817
19,0.265563,-0.0,0.0,0.3,-0.0636
20,0.281183,-0.0,0.0,0.3,-0.0636
21,0.296805,-0.0,0.0,0.3,-0.0681
22,0.312426,-0.0,0.0,0.3,-0.0908
23,0.328047,-0.0,0.0,0.3,-0.0681
24,0.343668,-0.0,0.0,0.3,-0.1044
25,0.35929,-0.0,0.0,0.3,-0.0772
26,0.374911,-0.0,0.0,0.3,-0.0544
27,0.390533,-0.0,0.0,0.3,-0.0862
28,0.406154,-0.0,0.0,0.3,-0.0772
29,0.421775,-0.0,0.0,0.3,-0.0589
30,0.437397,-0.0,0.0,0.3,-0.0817
31,0.453017,-0.0,0.0,0.3,-0.0636
32,0.468639,-0.0,0.0,0.3,-0.0725
33,0.484261,-0.0,0.0,0.3,-0.0817
34,0.499881,-0.0,0.0,0.3,-0.0681
35,0.515504,-0.0,0.0,0.3,-0.0772
36,0.531124,-0.0,0.0,0.3,-0.0772
38,0.546745,-0.0,0.0,0.3,-0.0772
39,0.562367,-0.0,0.0,0.3,-0.0772
40,0.578612,-0.0,0.0,0.3,-0.0725
41,0.594234,-0.0,0.0,0.3,-0.0681
42,0.609855,-0.0,0.0,0.3,-0.0544
43,0.625477,-0.0,0.0,0.3,-0.0817
44,0.641098,-0.0,0.0,0.3,-0.0817
45,0.656719,-0.0,0.0,0.3,-0.0725
46,0.672341,-0.0,0.0,0.3,-0.0817
47,0.703583,-0.0,0.0,0.3,-0.0725
48,0.719205,-0.0,0.0,0.3,-0.0772
49,0.734826,-0.0,0.0,0.3,-0.0999
50,0.766069,-0.0,-8.167346727046162e-05,0.3,-0.5858
51,0.797312,-5.103448275862069e-06,-0.0003267043259626,0.3,-2.3796
52,0.812932,-1.5310344827586204e-05,-0.0006534086519252,0.3,-3.3788
53,0.828554,-2.5517241379310345e-05,-0.0006533877381636,0.3,-3.951
54,0.844175,-3.5724137931034486e-05,-0.0006533877381636,0.3,-4.7774
55,0.859797,-4.593103448275861e-05,-0.0009800502386113,0.3,-6.0127
56,0.875419,-6.63448275862069e-05,-0.0009801129778878,0.3,-7.8203
